Linux 2.6.32-504.el6.x86_64 (hp440srv) 	07/06/17 	_x86_64_	(16 CPU)

15:35:53        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
15:35:58           lo     60.44     60.44     51.70     51.70      0.00      0.00      0.00
15:35:58         eth0     59.24      0.00      7.68      0.00      0.00      0.00      4.62
15:35:58         eth1     79.52     35.34     14.83     18.78      0.00      0.00      4.82
15:35:58         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:35:58         eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:35:58        bond0    138.76     35.34     22.52     18.78      0.00      0.00      9.44
15:36:03           lo    126.61    126.61     96.04     96.04      0.00      0.00      0.00
15:36:03         eth0     62.50      0.00      8.81      0.00      0.00      0.00      5.65
15:36:03         eth1     77.62     33.27     15.36     18.56      0.00      0.00      5.65
15:36:03         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:36:03         eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:36:03        bond0    140.12     33.27     24.17     18.56      0.00      0.00     11.29
15:36:08           lo     98.19     98.19     56.26     56.26      0.00      0.00      0.00
15:36:08         eth0     66.67      0.00      8.50      0.00      0.00      0.00      7.23
15:36:08         eth1     88.76     37.15     15.24     16.01      0.00      0.00      7.23
15:36:08         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:36:08         eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:36:08        bond0    155.42     37.15     23.74     16.01      0.00      0.00     14.46
15:36:13           lo    109.86    109.86     95.96     95.96      0.00      0.00      0.00
15:36:13         eth0     56.94      0.00      8.31      0.00      0.00      0.00      6.04
15:36:13         eth1     90.74     49.70     17.99     22.52      0.00      0.00      5.84
15:36:13         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:36:13         eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:36:13        bond0    147.69     49.70     26.30     22.52      0.00      0.00     11.87
15:36:18           lo     86.75     86.75     55.17     55.17      0.00      0.00      0.00
15:36:18         eth0     56.02      0.00      7.68      0.00      0.00      0.00      4.82
15:36:18         eth1     80.92     44.58     15.78     21.57      0.00      0.00      4.82
15:36:18         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:36:18         eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:36:18        bond0    136.95     44.58     23.46     21.57      0.00      0.00      9.64
Average:           lo     96.34     96.34     71.00     71.00      0.00      0.00      0.00
Average:         eth0     60.27      0.00      8.20      0.00      0.00      0.00      5.67
Average:         eth1     83.51     40.01     15.84     19.49      0.00      0.00      5.67
Average:         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        bond0    143.79     40.01     24.04     19.49      0.00      0.00     11.34
